,clauses,label
0,"II- CONDITIONS GENERALES D’UTILISATION
.",3
1,"OBJET DU SITE
Le site de Sephora (ci-après le « Site ») est un site de commerce électronique qui permet de proposer à la vente des parfums, des produits cosmétiques et des accessoires à des internautes ou utilisateurs naviguant sur le Site.",3
2,"Ce Site est accessible :
par le réseau Internet à l’adresse www.sephora.fr ainsi que sur les écrans digitaux du magasin « Sephora Flash » dans une version optimisée pour écran tactile.",3
3,via les services « Appstore » et « Playstore » sous la forme d'une application mobile destinée à être utilisée sur les équipements sous iOS et Android compatibles.,3
4,"DONNÉES PERSONNELLES ET COOKIES
Sephora collecte des données à caractère personnel dans le cadre du présent Site.",3
5,Les dispositions relatives au traitement de ces données sont d’écrites dans la charte « Données Personnelles & Cookies » du présente Site.,3
6,"Les Visiteurs sont informés que ce traitement automatisé d’informations, notamment la gestion des adresses e-mail des Visiteurs, a fait l’objet d’une déclaration à la CNIL (déclaration n°) et d’une autorisation de la CNIL ( Autorisation n°) s’agissant des outils utilisés par Sephora pour lutter contre la fraude et des impayés sur le Site.",3
7,"PROPRIÉTÉ INTELLECTUELLE
.. Site

Le Site ainsi que tout logiciel utilisé nécessairement en relation avec celui-ci peuvent contenir des informations confidentielles ainsi que des données protégées par le droit de la propriété intellectuelle.",3
8,"Ainsi, sauf mention contraire, les droits de propriété intellectuelle sur les documents et toute donnée de toute nature contenus dans le Site et chacun des éléments composant le Site (images, illustrations, sons, textes, éléments graphiques, charte...), y compris les logiciels, bases de données et newletters sont la propriété exclusive de Sephora (ci-après le « Contenu »), celle-ci ne concédant aucune licence, ni aucun droit autre que celui de consulter le Site.",3
9,"La reproduction de tout ou partie du Contenu est seulement autorisée aux fins exclusives d’information pour un usage personnel et privé, toute reproduction et toute utilisation de copies réalisées à d’autres fins de quelque manière que ce soit et sous quelque forme que ce soit étant expressément interdite.",3
10,"Il est également interdit de copier, modifier, créer une œuvre dérivée, assembler, décompiler (à l’exception des cas prévus par la loi), vendre, attribuer, sous-licencier ou transférer de quelque manière que ce soit tout droit afférant au Contenu.",3
11,Il est également interdit de modifier tout ou partie du Contenu et notamment le logiciel ou d’utiliser des versions modifiées des logiciels en vue notamment d’obtenir un accès non autorisé au service et d’accéder au Site par un autre moyen que l’interface qui est fournie au Visiteur par Sephora à cet effet.,3
12,".. Marques

Il est rappelé que la société Sephora est propriétaire de la marque Sephora et de ses logos.",3
13,L’internaute reconnaît les droits exclusifs de Sephora sur la marque Sephora et s’interdit d’en faire un usage quelconque et plus généralement de porter atteinte aux droits de propriété intellectuelle de Sephora.,3
14,Sephora se réserve le droit de demander des dommages et intérêts en cas de contrefaçon et plus généralement d’atteinte à ses droits de propriété intellectuelle.,3
15,"De la même manière, le Visiteur s’interdit de porter atteinte aux droits de propriété, et notamment de propriété intellectuelle, que pourrait détenir toute société du groupe auquel Sephora appartient.",3
16,Les partenaires de Sephora sont propriétaires de leurs marques.,3
17,"Toutes les autres marques ou logos apparaissant sur le Site sont la propriété soit de Sephora, soit d’une société du groupe auquel Sephora appartient soit de ses prestataires, partenaires ou fournisseurs.",3
18,"Toute utilisation, de quelque manière que ce soit, de ces marques et/ou logos et/ou tout autre Contenu est soumise à l’autorisation expresse de Sephora ou du titulaire des droits de propriété intellectuelle concerné.",3
19,".. Liens hypertexte

Le Site peut inclure des liens vers d’autres sites Internet ou d’autres sources Internet.",3
20,"Dans la mesure où Sephora ne peut contrôler ces sites et ces sources externes, Sephora ne peut être tenue pour responsable de la mise à disposition de ces sites et sources externes, et ne peut supporter aucune responsabilité quant au contenu, publicités, produits, services ou toute autre information ou donnée disponible sur ou à partir de ces sites ou sources externes.",3
21,"De plus, Sephora ne pourra être tenue responsable de tous dommages ou pertes avérés ou allégués consécutifs ou en relation avec l’utilisation ou le fait d’avoir fait confiance au contenu, à des biens ou des services disponibles sur ces sites ou sources externes.",3
22,"Toute création de liens vers le Site de Sephora, tout encadrement (framing) du Site, et plus généralement toute utilisation d’un élément composant le Site, est soumise à l’autorisation préalable et expresse de Sephora qui pourra être révoquée à tout moment à sa seule discrétion.",3
23,"Sephora se réserve le droit de (i) demander la suppression de tout lien vers le Site qui n’aurait pas été, ou ne serait plus, autorisé et de (ii) demander des dommages et intérêts en réparation du préjudice subi de ce fait.",3
24,"COMPORTEMENT DES VISITEURS
Chaque Visiteur se doit d’utiliser Internet en responsable avec respect et courtoisie à l’égard des droits des autres utilisateurs d’Internet.",3
25,"A ce titre, le Visiteur, en accédant au Site s’interdit notamment de:

télécharger vers le Site, afficher, envoyer par courrier électronique ou transmettre par tout autre moyen un contenu illégal, préjudiciable, menaçant, injurieux, harcelant, délictuel, diffamatoire, vulgaire, obscène, contraire aux bonnes mœurs, portant atteinte à la vie privée d’une personne, en ce compris son droit à l’image, odieux ou désobligeant ou choquant d’un point de vue racial, ethnique ou autre ;
télécharger vers le Site, afficher, envoyer par courrier électronique ou transmettre par tout autre moyen des éléments publicitaires ou promotionnels non sollicités ou non autorisés, des ""imprimés publicitaires"", des ""informations mensongères"", des ""chaînes de lettres"", ou toute autre forme de sollicitation ;
télécharger vers le Site, afficher, envoyer par courrier électronique ou transmettre par tout autre moyen tout élément contenant des virus logiciels ou autres codes, fichiers ou programmes informatiques conçus pour interrompre, détruire ou limiter la fonctionnalité de tout logiciel ou matériel informatique ou de tout équipement de télécommunication ;
perturber ou interrompre le Site ou les serveurs ou réseaux connectés au Site, ou enfreindre les exigences, procédures, règles ou réglementations des réseaux connectés au Site ;
essayer de porter atteinte au service de tout utilisateur, hébergeur ou réseau, ce qui comprend, sans exhaustivité aucune, le fait d’exposer le Site à un virus, de créer une saturation, d’inonder le serveur, de saturer la messagerie d’e-mails ou encore de falsifier tout en-tête du paquet d’informations du protocole TCP/IP ou n’importe quelle partie des informations de l’en-tête figurant dans tout e-mail ;
accéder aux données qui ne sont pas destinées au Visiteur ou entrer dans un serveur / un compte auquel le Visiteur n’est pas autorisé à avoir accès ;
tenter de sonder, de scruter ou de tester la vulnérabilité d’un système ou d’un réseau, ou encore d’enfreindre les mesures de sécurité ou d’authentification sans en avoir reçu l’autorisation ;
usurper l’identité d’une autre personne ;
mener une activité ou inciter une tierce personne à mener une activité illégale ou toute autre activité qui porterait atteinte aux droits de Sephora, de ses fournisseurs, partenaires, distributeurs, de ses annonceurs ou de tout autre Visiteur ;
transmettre ou transférer (par quelque moyen que ce soit) des informations ou logiciels dérivés du Site notamment à d’autres pays ou à certains ressortissants étrangers en violation d’une loi ou réglementation nationale ou internationale.",3
26,"En reconnaissant la nature globale du réseau Internet, chaque Visiteur s’engage à respecter toutes les règles et procédures locales et internationales relatives au comportement en ligne et à un contenu acceptable et notamment toutes les lois en vigueur concernant la transmission des données techniques.",3
27,".. Intégralité

Dans l’hypothèse où l’une des clauses des présentes CGU serait nulle du fait d’un changement de législation, de réglementation ou par une décision de justice, cela ne saurait en aucun cas affecter la validité et le respect des autres clauses des CGU.",3
28,".. Loi applicable

Les présentes CGU sont soumises au droit français.",3
29,"TOUT LITIGE RELATIF A L’EXISTENCE, L’INTERPRETATION, L’EXECUTION OU LA RUPTURE DU CONTRAT CONCLU ENTRE SEPHORA ET LE VISITEUR, MEME EN CAS DE PLURALITE DE DEFENDEURS, SERA, A DEFAUT D’ACCORD AMIABLE, DE LA COMPETENCE EXCLUSIVE DES TRIBUNAUX DE NANTERRE.",3
